"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10040.pdf"" target=""_blank"">View PDF</a>","104-10326-10040","CIA",3,"Secret",1996-11-12,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: ACTIVITY REPORT FOR OCTOBER 1996","JFK-M-11 : F2 : 1999.02.03.15:13:21:780120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10041.pdf"" target=""_blank"">View PDF</a>","104-10326-10041","CIA",1,"Secret",1996-10-25,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE:RECORDS REVIEW BOARD MEETING WITH (DELETION)","JFK-M-11 : F2 : 1999.02.03.15:22:09:576120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10042.pdf"" target=""_blank"">View PDF</a>","104-10326-10042","CIA",1,"Not Marked",1996-10-23,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: JFK ASSASSINATION RECORDS TEAM","JFK-M-11 : F2 : 20040323-1063425 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10044.pdf"" target=""_blank"">View PDF</a>","104-10326-10044","CIA",1,"Secret",1996-09-13,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:NEW STORY ON LEE HARVEY OSWALD","JFK-M-11 : F2 : 1999.02.03.15:32:55:436120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10045.pdf"" target=""_blank"">View PDF</a>","104-10326-10045","CIA",2,"Secret",1996-09-12,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE:NEWS STORY ON LEE HARVEY OSWALD (DELETION)","JFK-M-11 : F2 : 1999.02.03.15:41:30:763120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10052.pdf"" target=""_blank"">View PDF</a>","104-10326-10052","CIA",2,"Not Marked",1996-03-12,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: POSTCARD RECEIVED BY AMBASSADOR","JFK-M-11 : F2 : 20040323-1063426 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10062.pdf"" target=""_blank"">View PDF</a>","104-10326-10062","CIA",2,"Secret",1995-11-20,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:REQUEST FOR ASSISTANCE","JFK-M-11 : F3 : 1999.02.04.10:17:35:060120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10064.pdf"" target=""_blank"">View PDF</a>","104-10326-10064","CIA",2,"Secret",1995-11-11,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:REQUEST FOR ASSISTANCE","JFK-M-11 : F3 : 1999.02.04.10:57:12:233120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10065.pdf"" target=""_blank"">View PDF</a>","104-10326-10065","CIA",1,"Secret",1995-11-09,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE:REQUEST FOR FURTHER INFORMATION","JFK-M-11 : F3 : 1999.02.04.10:59:10:000120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10066.pdf"" target=""_blank"">View PDF</a>","104-10326-10066","CIA",1,"Secret",1995-10-20,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE:REQUEST FOR FURTHER INFORMATION","JFK-M-11 : F3 : 1999.02.04.11:00:59:140120 : CIA CORRESPONDENCE RE ARRB"
