"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10298.pdf"" target=""_blank"">View PDF</a>","104-10110-10298","CIA",1,"Secret",1976-11-18,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","REQUEST FOR ACTION FORM.","JFK40 : F20 : 1994.03.07.14:21:47:120028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10303.pdf"" target=""_blank"">View PDF</a>","104-10110-10303","CIA",1,"Secret",1973-01-10,"PAPER - TEXTUAL DOCUMENT","","BUSTOS-VIDELA, CHARLOTTE Z.","4/26/2018","DATA  RE CONTACT WITH AGEE.","JFK40 : F20 : 1994.03.07.14:50:02:250028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10305.pdf"" target=""_blank"">View PDF</a>","104-10110-10305","CIA",2,"Not Marked",1972-05-31,"PAPER - TEXTUAL DOCUMENT","THE RECORD","ELSIE I. SCALETTI","4/26/2018","AGEE EFFORT AGAINST CUBAN OPERATIONS.","JFK40 : F20 : 20040112-1033616 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10306.pdf"" target=""_blank"">View PDF</a>","104-10110-10306","CIA",8,"Not Marked",1972-07-10,"PAPER - TEXTUAL DOCUMENT","","ELSIE L. SCALETTI","4/26/2018","PHILIP BURNETT FRANKLIN AGEE.","JFK40 : F20 : 20040112-1033617 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10307.pdf"" target=""_blank"">View PDF</a>","104-10110-10307","CIA",1,"Secret",1974-07-10,"PAPER - TEXTUAL DOCUMENT","CHIEF, CONTROL DIVISION, OP","CHIEF, CCS","4/26/2018","NOTIFICATION OF ESTABLISHMENT OR CANCELLATION OF FORM.","JFK40 : F20 : 1994.03.07.15:01:18:000028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10314.pdf"" target=""_blank"">View PDF</a>","104-10110-10314","CIA",1,"Secret",1974-06-07,"PAPER - TEXTUAL DOCUMENT","CHIEF, OS/CLEARANCE DIVISION","FRANKLIN, JAMES T.","4/26/2018","CERTIFICATION OF SECURITY CLEARANCE FOR .","JFK40 : F20 : 1994.03.07.15:30:24:400028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10328.pdf"" target=""_blank"">View PDF</a>","104-10110-10328","CIA",1,"Secret",1962-08-07,"PAPER - TEXTUAL DOCUMENT","CHIEF, RECORDS & SERVICES DIVISION","CCS/MILITARY COVER","4/26/2018","FORM - NOTIFICATION OF ESTABLISHMENT OF MILITARY COVER BACKSTOP","JFK40 : F20 : 1994.03.07.16:13:22:810028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10340.pdf"" target=""_blank"">View PDF</a>","104-10110-10340","CIA",1,"Secret",1962-08-07,"PAPER - TEXTUAL DOCUMENT","CHIEF, RECORDS AND SERVICES DIV.","CCS/MILITARY COVER","4/26/2018","FORM - NOTIFICATION OF ESTABLISHMENT OF MILITARY COVER BACKSTOP","JFK40 : F20 : 1994.03.08.14:06:28:690028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10433.pdf"" target=""_blank"">View PDF</a>","104-10110-10433","CIA",3,"Secret",1961-05-23,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","DOCUMENTS RE LIVE ADDRESSES.","JFK40 : F25 : 1994.03.09.15:56:19:400028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10525.pdf"" target=""_blank"">View PDF</a>","104-10110-10525","CIA",2,"Secret",1967-12-13,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","BATISTA, LAUREANO.","JFK40 : F17 : 1998.03.04.20:14:06:763031 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10527.pdf"" target=""_blank"">View PDF</a>","104-10110-10527","CIA",1,"Secret",0-01-01,"PAPER - TEXTUAL DOCUMENT","THE FILES","WITHHELD","4/26/2018","MOVIMIENTO DEMOCRATICA CRISTIANO.","JFK40 : F17 : 1998.03.04.20:16:59:326031 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10568.pdf"" target=""_blank"">View PDF</a>","104-10110-10568","CIA",1,"Secret",1963-12-23,"PAPER - TEXTUAL DOCUMENT","CHIEF, CONTACT DIVISION","LOHMANN, R; CHIEF CHICAGO FIELD OFF","4/26/2018","MEMO: HARGRAVE SECRET SERVICE","JFK40 : F21 : 1998.03.07.09:51:50:890109 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10621.pdf"" target=""_blank"">View PDF</a>","104-10110-10621","CIA",1,"Secret",0-01-01,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","UNTITLED MEMO:DAVID L. CHRIST.","JFK40 : F25A : 1998.03.07.11:04:56:466031 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10688.pdf"" target=""_blank"">View PDF</a>","104-10110-10688","CIA",1,"Secret",1970-12-10,"PAPER - TEXTUAL DOCUMENT","C/PSD/OS","SECURITY OFFICER, ORD/DD/S&T","4/26/2018","CHIRST, DAVID LAMAR.","JFK40 : F25B : 1998.03.07.12:25:15:436031 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10111-10044.pdf"" target=""_blank"">View PDF</a>","104-10111-10044","CIA",2,"Not Marked",1962-03-09,"PAPER - TEXTUAL DOCUMENT","DDTR","COS/ISO","4/26/2018","OPERATIONS FAMILIARIZATION COURSE #24 SEMINAR ROOM ROSTER.","JFK40 : F25A : 20040112-1033625 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10111-10045.pdf"" target=""_blank"">View PDF</a>","104-10111-10045","CIA",1,"Secret",0-01-01,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","OPERATIONS FAMILIARIZATION COURSE #24 ROSTER (FOR STAFF USE ONLY).","JFK40 : F25A : 1994.03.10.16:00:08:220028 :"
